"fdc_id","Classification","food_group","food_desc","Description","scientific_name","source_fct","nutrient_data_source","specific_gravity","Edible_factor_in_FCT","Analysed portion","Unanalysed portion","Edible_desc","ENERCkJ","WATERg","PROCNTg","NTg","XN","FATg","XFA","ASHg","FIBTGg","ALCg","FRUSg","GLUCSg","SUCSg","MALSg","LACSg","GALSg","MALTRSg","SUGARg","SUGAdg","Free sugarsg","STARCHg","DEXTRINg","GLYRLg","GLYCg","INULINg","MANTLg","MALTDEXg","OLSACg","RAFSg","STASg","SORTLg","Resistant starchg","CHOAVLg","Available carbohydrate, with sugar alcoholsg","ACEACg","CITACg","FUMACg","LACACg","MALACg","OXALACg","PROPACg","QUINACg","SUCACg","TARACg","ALmcg","SBmcg","ASmcg","CDmcg","CAmg","CRmcg","CLDmg","COmcg","CUmg","FDmcg","IDmcg","FEmg","PBmcg","MGmg","MNmg","HGmcg","MOmcg","NImcg","Pmg","Kmg","SEmcg","NAmg","Smg","SNmcg","ZNmg","RETOLmcg","CARTAmcg","CARTBmcg","CRYPXmcg","CARTBEQmcg","VITAmcg","LUTNmcg","LYCPNmcg","Xanthophylmcg","THIAmg","RIBFmg","NIAmg","NIATRPmg","NIAEQmg","NIATRP_standardizedmg","NIAEQ_standardizedmg","PANTACmg","VITB6Amg","BIOTmcg","VITB12mcg","FOLFDmcg","FOLACmcg","FOLmcg","FOLDFEmcg","FOLDFE_standardizedmcg","VITCmg","CHOCALmcg","ERGCALmcg","CHOCALOHmcg","ERGCALOHmcg","VITDEQmcg","TOCPHAmg","TOCPHBmg","TOCPHGmg","TOCPHDmg","TOCTRAmg","TOCTRBmg","TOCTRGmg","TOCTRDmg","VITEmg","F4D0g","F6D0g","F8D0g","F10D0g","F11D0g","F12D0g","F13D0g","F14D0g","F15D0g","F16D0g","F17D0g","F18D0g","F19D0g","F20D0g","F21D0g","F22D0g","F23D0g","F24D0g","FASATg","F10D1g","F14D1g","F15D1g","F16D1g","F17D1g","F18D1g","F20D1g","F22D1g","F24D1g","FAMSg","F16D2N4mg","F16D3g","F18D2N6g","F18D3N3g","F18D3N4g","F18D3N6mg","F18D4N1g","F18D4N3mg","F20D2N6mg","F20D3N3mg","F20D3N6mg","F20D4N3mg","F20D4N6mg","F20D5N3mg","F22D2N6mg","F22D4N6mg","F22D5N3mg","F22D5N6g","F22D6N3mg","Other polyunsaturated fatty acidsg","FAPUg","Total long chain omega 3 fatty acidsmg","FAUNmg","FATRNmg","CAFFNmg","CHOLEmg","TRPmg","ALAmg","ARGmg","ASPmg","CYSmg","GLUmg","GLYmg","HISmg","ILEmg","LEUmg","LYSmg","METmg","PHEmg","PROmg","SERmg","THRmg","TYRmg","VALmg","FN20D5N3g","FN22D6N3g"
"F002258",31302,"Herbs(dried)  and spices","Cardamom seed, dried, ground","Ground spice commonly used in Indian cooking and drinks, in Middle Eastern cooking and in Scandinavian baking","Elettaria cardamom","AU19","The majority of nutrient data were borrowed from USDA SR28, 02006 - Spices, cardamom. Proximates (starch, total sugars), vitamins (alpha-tocopherol, beta-carotene, folate) and Se were borrowed from Indian Food Composition Tables 2017, G020 - Cardamom, green. Dry matter adjustment was applied to starch and sugar. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), I, caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","1236","8.3000000000000007","10.8","1.72","6.25","6.7","0.95599999999999996","5.8","28","0",NA,NA,NA,NA,NA,NA,NA,"4.4000000000000004","0","0","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.4","34.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"383",NA,NA,NA,NA,NA,"0","13.97",NA,"229",NA,NA,NA,NA,"178","1119","11.7","18",NA,NA,"7.47","0",NA,"22",NA,"22","4",NA,NA,NA,"0.19800000000000001","0.182","1.1000000000000001","2.6350000000000002","3.74","2.5833333333333335","3.6833333333333336",NA,"0.23",NA,"0","3","0","3","3","3","21","0","0","0","0","0","2.8",NA,NA,NA,NA,NA,NA,NA,"2.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.2000000000000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.81",NA,NA,"1","0.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0",NA,"1.39","0",NA,"0","0","0","155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"F002893",31302,"Herbs(dried)  and spices","Chilli (chili), dried, ground","Dried and ground red pepper, characterised by a hot sensation when consumed as a spice.","Capsicum spp","AU19","The majority of nutrient data was borrowed USDA SR28, 02009 - Spices, chili powder. Iodine was borrowed from NZ FOODfiles 2014, P28 - Spice, chilli powder. Alcohol, vitamins (B12, folic acid, retinol, C, D), caffeine and cholesterol were imputed zero.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","1280","10.8","13.4","2.14","6.25","14.3","0.8","11.8","34.799999999999997","0",NA,NA,NA,NA,NA,NA,NA,"7.2","0","0","7.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.9","14.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"330",NA,NA,NA,NA,NA,"2.2999999999999998","17.3",NA,"149",NA,NA,NA,NA,"300","1950","20.399999999999999","2867",NA,NA,"4.3","0",NA,"15000",NA,"15000","2500",NA,NA,NA,"0.25","0.94","11.6","1.173","12.78","1.1499999999999999","12.75",NA,"2.09",NA,"0","28","0","28","28","28","1","0","0","0","0","0","38.1",NA,NA,NA,NA,NA,NA,NA,"38.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.68",NA,NA,"6.24","0.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0",NA,"6.69","0",NA,"0","0","0","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"F002963",31302,"Herbs(dried)  and spices","Cinnamon, dried, ground","Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice.","Cinnamomum verum, C zeylanicum or C. aromaticum","AU19","The majority of nutrient data were borrowed from USDA SR28, 02010 - Spices, cinnamon, ground. Iodine was borrowed from NZ FOODfiles 2014, P29 - Spice, cinnamon, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","1004","10.6","4","0.64","6.25","1.2","0.95599999999999996","3.6","53.1","0",NA,NA,NA,NA,NA,NA,NA,"2.2000000000000002","0","0","25.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.5","27.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1002",NA,NA,NA,NA,NA,"0.1","8.32",NA,"60",NA,NA,NA,NA,"64","431","3.1","10",NA,NA,"1.83","0",NA,"112",NA,"112","19",NA,NA,NA,"2.1999999999999999E-2","4.1000000000000002E-2","1.33","0.83300000000000007","2.16","0.81666666666666665","2.1466666666666665",NA,"0.16",NA,"0","6","0","6","6","6","4","0","0","0","0","0","2.2999999999999998",NA,NA,NA,NA,NA,NA,NA,"2.3199999999999998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.44",NA,NA,"0.08","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0","0.02","0.12","0",NA,"0","0","0","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"F002970",31302,"Herbs(dried)  and spices","Cloves, dried, ground","Dried and ground, unopened flower buds of Syzygium aromaticum, used as a spice.","Syzygium aromaticum","AU19","The majority of nutrient data were borrowed from USDA SR28, 02011 - Spices, cloves, ground. Iodine was borrowed from NZ FOODfiles 2014, P30 - Spice, cloves, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","1389","9.9","6","0.96","6.25","13","0.95599999999999996","5.6","33.9","0",NA,NA,NA,NA,NA,NA,NA,"2.4","0","0","29.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.6","31.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"632",NA,NA,NA,NA,NA,"50.7","11.83",NA,"259",NA,NA,NA,NA,"104","1020","7.2","277",NA,NA,"2.3199999999999998","0",NA,"45",NA,"45","8",NA,NA,NA,"0.216","0.22","1.56","0.51","2.0700000000000003","0.5","2.06",NA,"0.39",NA,"0","25","0","25","25","25","0","0","0","0","0","0","8.8000000000000007",NA,NA,NA,NA,NA,NA,NA,"8.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.93",NA,NA,"3.69","0.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.06",NA,NA,"255.52",NA,"0","0.26","5.03","266.58100000000002",NA,"0","0","0","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01106,0
"F003190",31302,"Herbs(dried)  and spices","Coriander seed, dried, ground","Dried and ground fruit or seed of Coriandrum sativum, used as a spice.","Coriandrum sativum","AU19","The majority of nutrient data were borrowed from USDA SR28, 02013 - Spices, coriander seed. Proximates (starch, total sugars) and vitamins (B6, alpha-tocopherol, beta-carotene) were borrowed from Indian FCDB 2011-13, G024 - Coriander seeds. Iodine was borrowed from NZ FOODfiles 2014, P32 - Seed, coriander. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","1344","8.9","12.4","1.98","6.25","17.8","0.95599999999999996","6","41.9","0",NA,NA,NA,NA,NA,NA,NA,"2.4","0","0","6.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.4","8.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"709",NA,NA,NA,NA,NA,"2.2999999999999998","16.32",NA,"330",NA,NA,NA,NA,"409","1267","26.2","35",NA,NA,"4.7","0",NA,"122",NA,"122","20",NA,NA,NA,"0.23899999999999999","0.28999999999999998","2.13","3.0260000000000002","5.16","2.9666666666666668","5.0966666666666667",NA,"0.04",NA,"0","0","0","0","0","0","21","0","0","0","0","0","0.9",NA,NA,NA,NA,NA,NA,NA,"0.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.14",NA,NA,"1.82","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0",NA,"1.82","0",NA,"0","0","0","178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"F003327",31302,"Herbs(dried)  and spices","Cumin (cummin) seed, dried, ground","Dried and ground fruit or seeds of Cuminum cymimum, used as a spice.","Cuminum cymimum","AU19","The majority of nutrient data were borrowed from USDA SR28, 02014 - Spices, cumin seed. Iodine was borrowed from NZ FOODfiles 2014, P33 - Seed, cumin. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","1782","8.1","17.8","2.85","6.25","22.3","0.95599999999999996","7.6","10.5","0",NA,NA,NA,NA,NA,NA,NA,"2.2000000000000002","0","0","31.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.700000000000003","33.700000000000003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"931",NA,NA,NA,NA,NA,"13.6","66.36",NA,"366",NA,NA,NA,NA,"499","1788","5.2","168",NA,NA,"4.8","0",NA,"762",NA,"762","127",NA,NA,NA,"0.628","0.32700000000000001","4.58","4.3690000000000007","8.9400000000000013","4.2833333333333332","8.8633333333333333",NA,"0.44",NA,"0","10","0","10","10","10","8","0","0","0","0","0","3.3",NA,NA,NA,NA,NA,NA,NA,"3.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.85",NA,NA,"3.5","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0",NA,"3.7","0",NA,"0","0","0","257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"F003337",31302,"Herbs(dried)  and spices","Curry powder","Dried and ground mixture of spices for use in the preparation of Indian-style meals. Typical ingredients include the spices cumin, coriander seed and turmeric.",NA,"AU19","The majority of nutrient data were borrowed from USDA SR28, 02015 Spices, curry powder. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","1231","8.8000000000000007","14.3","2.29","6.25","14","0.95599999999999996","7.1","53.2","0",NA,NA,NA,NA,NA,NA,NA,"2.8","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.8","2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"525",NA,NA,NA,NA,NA,"0","19.100000000000001",NA,"255",NA,NA,NA,NA,"367","1170","40.299999999999997","52",NA,NA,"4.7","0",NA,"11",NA,"11","2",NA,NA,NA,"0.17599999999999999","0.2","3.26","1.8530000000000002","5.1099999999999994","1.8166666666666667","5.0766666666666662",NA,"0.1",NA,"0","56","0","56","56","56","1","0","0","0","0","0","25.2",NA,NA,NA,NA,NA,NA,NA,"25.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.7200000000000006",NA,NA,"2.77","0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0",NA,"3.02","0",NA,"0","0","0","109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"F003821",31302,"Herbs(dried)  and spices","Fenugreek seed, dried","Dried fenugreek seeds used as a spice.","Trigonella foenum-graecum","AU19","The majority of nutrient data were borrowed from USDA SR28, 02019 - Spices, fenugreek seed. Alpha-tocopherol, beta-carotene, proximates (starch, total sugars, fibre) and fatty acids were borrowed from Indian FCT G026 - Fenugreek seeds. Iodine was borrowed from NZ FOODfiles 2014, P37 - Seed, fenugreek. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","1080","8.8000000000000007","23","3.68","6.25","6.4","0.95599999999999996","3.4","47.6","0",NA,NA,NA,NA,NA,NA,NA,"0.6","0","0","3.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.2","4.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"176",NA,NA,NA,NA,NA,"2.2999999999999998","33.53",NA,"191",NA,NA,NA,NA,"296","770","6.3","67",NA,NA,"2.5","0",NA,"142",NA,"142","24",NA,NA,NA,"0.32200000000000001","0.36599999999999999","1.64","5.6440000000000001","7.2799999999999994","5.5333333333333332","7.1733333333333329",NA,"0.6",NA,"0","57","0","57","57","57","3","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9",NA,NA,"2.75","1.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0",NA,"4.2","0",NA,"0","0","0","332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"F004210",31302,"Herbs(dried)  and spices","Ginger, dried, ground","Dried and ground rhizome of Zingiber officinale, used as a spice.","Zingiber officinale","AU19","The majority of nutrient data were borrowed from USDA SR28, 02021 Spices, ginger ground. Iodine was borrowed from NZ FOODfiles 2014, P4 - Spice, ginger, dried, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","1397","9.9","9","1.44","6.25","4.2","0.8","5.2","14.1","0",NA,NA,NA,NA,NA,NA,NA,"3.4","0","0","54.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.5","57.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114",NA,NA,NA,NA,NA,"12.4","19.8",NA,"214",NA,NA,NA,NA,"168","1320","55.8","27",NA,NA,"3.64","0",NA,"18",NA,"18","3",NA,NA,NA,"4.5999999999999999E-2","0.17","9.6199999999999992","2.5840000000000001","12.2","2.5333333333333332","12.153333333333332",NA,"0.63",NA,"0","13","0","13","13","13","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.2000000000000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4",NA,NA,"0.6","0.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0",NA,"0.79","0",NA,"0","0","0","152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"F005972",31302,"Herbs(dried)  and spices","Mustard powder","Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods.",NA,"AU19","The majority of nutrient data were derived from a composite sample of 6 purchases (4x Keens, 2x McCormick) of mustard powder purchased in Adelaide in 1990. Folate, C, B6, alpha-tocopherol and tryptophan were borrowed from the USDA SR28, 02024 - Spices, mustard seed, ground. Fibre is estimated based on products available in 2012. Alcohol, vitamins (retinol, folic acid, B12, D), iodine, caffeine and cholesterol were imputed zero.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","2289","4.3","29.4","4.71","6.25","39.5","0.95599999999999996","3.4","5","0","0","0.1","4.9000000000000004","0","0",NA,NA,"5","0","0","12.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.2","17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"160",NA,"79",NA,"0.41","0","0","7",NA,"310","1.9",NA,NA,NA,"730","650","160","3","900",NA,"4.9000000000000004","0","0","35","0","35","6",NA,NA,NA,"1.3","0","6.5","4.25","10.74","4.166666666666667","10.666666666666668",NA,"0.4",NA,"0","162","0","162","162","162","7","0","0","0","0","0","5.0999999999999996",NA,NA,NA,NA,NA,NA,NA,"5.07",NA,NA,NA,"0",NA,"0",NA,"0","0","1.21","0","0.53",NA,"0.26",NA,"0",NA,"0","2",NA,NA,"0","0","0","9.74","4.6399999999999997","9.52",NA,"23.9",NA,NA,"7.33","4.57",NA,NA,NA,NA,NA,"0",NA,NA,"0","0",NA,NA,"0",NA,"0",NA,"11.9","0",NA,"0","0","0","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"F006118",31302,"Herbs(dried)  and spices","Nutmeg, dried, ground","Dried and ground seed of Myristica fragrans (M. officinalis or M. aromatica), used as a spice.","Myristica fragrans","AU19","The majority of nutrient data were borrowed from USDA SR28, 02025 - Spices, nutmeg, ground. Iodine was borrowed from NZ FOODfiles 2014, P42 - Spice, nutmeg, ground. Tryptophan was imputed from ground cinnamon. Alcohol, vitamins (retinol, folic acid, B12, D), caffeine and cholesterol were imputed zero.",0,1,"1","0","analysed portion: 100% unanalysed portion: 0","2090","6.2","5.8","0.93","6.25","36.299999999999997","0.95599999999999996","2.2999999999999998","20.8","0",NA,NA,NA,NA,NA,NA,NA,"3","0","0","25.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.5","28.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"184",NA,NA,NA,NA,NA,"0","3.04",NA,"183",NA,NA,NA,NA,"213","350","1.6","16",NA,NA,"2.15","0",NA,"28",NA,"28","5",NA,NA,NA,"0.34599999999999997","5.7000000000000002E-2","1.3","1.2240000000000002","2.52","1.2","2.5",NA,"0.16",NA,"0","76","0","76","76","76","3","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.79",NA,NA,"0.41","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0",NA,"0.41","0",NA,"0","0","0","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
