"fdc_id","food_desc","food_group","food_desc_bengali","scientific_name","nutrient_data_source","source_fct","Edible_factor_in_FCT","ENERCkcal","ENERCkJ","WATERg","PROCNTg","FATCEg","CHOAVLDFg","FIBTGg_standardised","FIBTGg","FIBCg","ASHg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","CUmg","VITA_RAEmcg","RETOLmcg","CARTBEQ or [CARTB]mcg","CARTAmcg","CARTBmcg","CRYPXmcg","VITDmcg","VITEmg","TOCHPAmg","THIAmg","RIBFmg","NIAEQmg","NIAmg","NIATRPmg","VITB6Amg","FOLmcg","ASCLmg","ILEmg","LEUmg","LYSmg","METmg","CYSmg","PHEmg","TYRmg","THRmg","TRPmg","VALmg","ARGmg","HISmg","ALAmg","ASPmg","GLUmg","GLYmg","PROmg","SERmg","PHTACmg","OXALACmg","TPC mg GAE","DPPH-RSCµmol TE","T-ORAC mcmole TE","FASATg","FAMSg","FAPUg","CHOL_mg","F4D0g","F6D0g","F8D0g","F10D0g","F12D0g","F14D0g","F15D0g","F16D0g","F17D0g","F18D0g","F20D0g","F22D0g","F24D0g","F14D1g","F14D1CN5g","F16D1g","F16D1CN7g","F18D1g","F18D1N9g","F18D1CN7g","F20D1g","F20D1CN11g","F20D1CN9g","F22D1g","F22D1CN9g","F22D1CN11g","F24D1CN9g","F18D2g","F18D2CN6g","F20D2g","F18D3g","F18D3CN3g","F18D3N6g","F20D3N6g","F18D4g","F18D4CN3g","F20D4g","F20D4CN6g","F20D5CN3g","F22D5CN3g","F22D6CN3g","SUGARg"
"01_0001","Barley, whole-grain, raw","Cereals and their products","Jaab, gota","Hordeum vulgare","P1, P6(101), DK7(0024),  UK6(11-004), US25(20004)","BA13","1","324","1360","11.715","10.850344524800001","2.23","56.374655475200001","17.3","17.3",NA,"1.53","26","5.45","133","264","452","4","2.77","0.498","1.0833333333333333","0","13","0","13","0","0","0.9",NA,"0.47","0.2","7.8000000000000007","5.2","2.6","0.318","34","0","484","873","413","189","224","637","318","389","142","672","519","283","484","637","2831","425","1415","566",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01_0034","Biscuit, sweet*","Cereals and their products","Misti biscuit",NA,"Recipe calculation","BA13","1","344","1450","24.3","5.8183116883116881","9.9870909090909112","56.701727272727275","2.4095454545454547","2.4095454545454547",NA,"0.77722077922077926","83.201116883116882","2.1347142857142858","32.214831168831168","131.29","116.03015584415584","83.354311688311697","0.86603159926187134","0.12597102622206588","0","0","0","0","0","0","0","0.93477272727272709",NA,"0.05","2.7981818181818181E-2",NA,"1",NA,"4.8599999999999997E-2","7.4181818181818198","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.492727272727272"
"01_0002","Bread, bun/roll","Cereals and their products","Bonruti, bun/roll",NA,"DK7(1469)","BA13","1","270","1140","33","8.8000000000000007","2.8","50.900000000000006","2.8","2.8",NA,"1.7","26","0.99","22","96","133","501","0.73","0.13","0","0",NA,NA,NA,NA,"0","0.5",NA,"0.15","5.2999999999999999E-2","2.9","1.5","1.4","5.2999999999999999E-2","29","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6","0.9","1","0",NA,NA,"0","0","0","8.0000000000000002E-3",NA,"0.48",NA,"0.09","4.0000000000000001E-3","4.0000000000000001E-3",NA,NA,NA,NA,"0.01",NA,"0.82","3.9E-2",NA,"7.0000000000000001E-3",NA,NA,NA,NA,NA,NA,"0.96",NA,NA,"7.9000000000000001E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01_0003","Bread, white, for toasting","Cereals and their products","Pawruti",NA,"P6 (1406),  DK7(0528), UK6(11-468), US25(18070)","BA13","1","272","1150","30.4","8.0256000000000007","1.4","55.574399999999997","2.5","2.5",NA,"2.1","119","2.2000000000000002","26","103","131","592","0.68","0.13800000000000001","0","0","0","0","0",NA,"0",NA,"0.24","0.21","0.33700000000000002",NA,"3.9260000000000002",NA,"6.3E-2","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01_0004","Maize/corn flour, whole, white","Cereals and their products","Bhutta, atta",NA,"US25(20316), VIN(1019), DK7(0172)","BA13","1","355","1500","10.91","6.93","3.86","69.55","7.3","7.3",NA,"1.45","7","2.38","93","272","315","5","1.73","0.23","0","0","0","0",NA,"0","0",NA,"0.42","0.246","0.08","2.633","1.9","0.73299999999999998","0.37","25","0","255","876","194","132","112","357","265","255","45","336","285","194","520","448","1427","255","622","357",NA,NA,NA,NA,NA,"0.54300000000000004","1.018","1.7589999999999999","0","0","0","0","0","0","0",NA,"0.46300000000000002",NA,"6.0999999999999999E-2",NA,NA,NA,NA,NA,"3.0000000000000001E-3",NA,"1.0149999999999999",NA,NA,NA,NA,"0",NA,"0",NA,NA,"1.7050000000000001",NA,NA,"5.2999999999999999E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01_0005","Maize/corn, yellow, dried, raw","Cereals and their products","Bhutta, shukna","Zea mays","P1, P6(103), P78, T1, T21, T54, IND(5), US25(20014), VIN(8-1008))","BA13","1","344","1450","13.075666666666669","9.9441428571428556","3.3944444444444444","64.691246031746033","7.3","7.3",NA,"1.5945","11.532857142857143","2.8550000000000004","142.79333333333332","329.08166666666671","248.4","13.79","3.2666666666666671","0.43","10.708333333333334","0","128.5","63","97","0","0",NA,"0.49","0.39","0.11","2","2",NA,"0.622","20","0","356","1219","280","208","179","489","405","373","71","503","496","303","745","691","1866","407","867","472",NA,"6",NA,NA,NA,"0.52","0.556111111111111","1.5383333333333333","0",NA,NA,NA,NA,NA,NA,NA,"0.41166666666666663","0","5.7777777777777775E-2","0","0","0",NA,"0",NA,"0",NA,"0.90277777777777768",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5166666666666668",NA,NA,"5.0555555555555562E-2",NA,NA,NA,NA,NA,"0","0",NA,"0",NA
"01_0006","Millet, Foxtail, raw","Cereals and their products","Kaon","Setaria italica","P1,T1,EAF(26), IND(3), US25(20031), VIN(6-1006)","BA13","1","344","1450","11.81","10.41","4.3","61.680000000000007","8.5","8.5",NA,"3.3","32","2.8","81","290","250","7","1.5","1.4","5","0","60",NA,"60",NA,"0",NA,"0.05","0.59","0.11",NA,"3.2",NA,"0.38400000000000001","85","0","439","1322","201","208","201","547","321","333","113","546","361","223","931","686","2263","271","828","608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01_0007","Millet, Proso, whole-grain, raw","Cereals and their products","Cheena, gota-dana","Panicum miliaceum","P1, P6(104), DK7(0461), US25(20031)","BA13","1","341","1440","12.48","11.221584","4.22","60.328416000000004","8.5","8.5",NA,"3.25","14","5","114","285","195","5","2.2999999999999998","0.75","0","0","0",NA,NA,NA,"0",NA,"0.05","0.42099999999999999","0.28999999999999998","6.72","4.72","2","0.38400000000000001","85","0","470","1400","210","230","210","590","340","360","120","590","380","230","980","720","2500","280","870","640",NA,NA,NA,NA,"476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01_0008","Pear millet, whole-grain, raw","Cereals and their products","Bajra, gota-dana","Pennisetum typhoideum","P6(105), IND(1), US25(20031)","BA13","1","349","1470","12.4","10.093343744","5","61.406656256000005","8.8000000000000007","8.8000000000000007",NA,"2.2999999999999998","42","8.0","137","296","307","10.9","3.1","1.06","0","0","0","0","0","0","0",NA,"0.05","0.33","0.16",NA,"2.2999999999999998",NA,"0.38400000000000001","85","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01_0035","Plain Khichuri*","Cereals and their products","Khichuri",NA,"Recipe calculation","BA13","1","163","683","65.702076513911621","5.0768748295144581","7.445189750409166","17.713636797599559","2.4563727495908347","2.4563727495908347",NA,"1.6","13.369133592471357","1.1202962494030964","19.202122885979268","54","91.665693194217155","410.49116714402618","0.68597177480490612","0.11765945425492065","23.731945921985815","21.481178396072014","27",NA,"27",NA,"0.13604746317512276",NA,"0.13","0.08","0.02",NA,"0.34181375306873979",NA,"4.1000000000000002E-2","3.9919189852700496","0.16844824058919802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
