"fdc_id","food_desc","foodgroup","Edible_factor_in_FCT","WATERg","ENERCkJ","ENERCkcal","FAT_g","FASATg","F12D0g","F14D0g","F16D0g","F18D0g","FATRNg","FAMSg","F16D1g","F18D1g","FAPUg","F18D2N6g","F18D3N3g","F20D3N3g","F20D3N6g","F20D4N3g","F20D4N6g","F20D5N3g","F22D5N3g","F22D6N3g","omega_3","omega_6","CHOLEmg","CHOAVLg","STARCHg","mono_di","SUGARg","FIBTGg","PROCNTg","salt","ALCg","VITA_RAEmcg","RETOLmcg","CARTBmcg","VITDmcg","VITEmg","THIAmg","RIBFmg","NIAmg","VITB6_mg","FOLmcg","VITB12mcg","VITCmg","CAmg","FEmg","NAmg","Kmg","MGmg","ZNmg","SEmcg","CUmg","Pmg","IDmcg","scientific_name","nutrient_data_source","source_fct"
"1","Milk and milk products","Milk and milk products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"1.1","Milk and milk based beverages","Milk and milk products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.197","Cocoa, prepared from instant powder and low-fat milk","Milk and milk products",1,85,268,63,0.9,0.5,0.02,0.07,0.24,0.13,0,0.2,0.01,0.2,0,0.01,0,0,0,0,0,0,0,0,"0","0.01",2,10,0.2,"9.8000000000000007",5.6,0,3.6,"0.1",0,2,2,2,0.3,0,0.03,0.11,0.1,0.02,3,0.5,0,121,0.5,53,218,15,0.4,1,0.06,115,15,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.196","Cocoa, prepared with low-fat milk","Milk and milk products",1,82,338,80,1.6,1,0.02,0.07,0.43,0.34,0,0.4,0.01,0.44,0,0.04,0,0,0,0,0,0,0,0,"0","0.03",2,11.7,0.4,"11.3",7,1,4.2,"0.1",0,3,2,3,0.3,0,0.03,0.11,0.1,0.02,4,0.5,0,124,0.4,40,301,27,0.6,1,0.15,129,15,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.008","Milk beverage, chocolate flavour","Milk and milk products",1,86,261,62,1.2,0.8,0.04,0.12,0.35,0.13,0,0.3,0.03,0.25,0,0.02,0,0,0,0,0,0,0,0,"0","0",3,8.5,0.1,"8.4",4.1,0,4,"0.1",0,15,14,7,0,0,0.05,0.1,0.1,0.04,5,0.5,0,125,0.4,40,162,16,0.5,2,0.01,115,15,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.280","Milk beverage, chocolate flavour, no added sugar, Litago Uten","Milk and milk products",1,88,209,50,1.3,0.8,0.04,0.13,0.37,0.14,0,0.3,0.03,0.27,0,0.02,0.01,0,0,0,0,0,0,0,"0.01","0.01",3,4.6,0.1,"4.5",0,2,4,"0.1",0,16,15,7,0,0,0.05,0.1,0.1,0.04,5,0.5,0,118,0.6,40,213,18,0.5,2,0,121,16,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.127","Milk beverage, with chocolate flavour, Litago","Milk and milk products",1,89,201,48,0.8,0.5,0.02,0.08,0.23,0.08,0,0.2,0.02,0.16,0,0.01,0,0,0,0,0,0,0,0,"0","0",2,5.9,0.1,"5.8",1.4,0,4,"0.1",0,8,7,7,0.4,0,0.05,0.1,0.1,0.04,5,0.6,0,128,0.6,40,213,18,0.5,2,0.01,120,16,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.170","Milk, cultured, Biola","Milk and milk products",1,91,170,40,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,"0","0",2,4.8,0,"4.8",0,0,3,"0.1",0,15,15,6,0.9,0,0.05,0.1,0.1,0.04,5,0.5,0,115,0.1,40,170,13,0.5,2,0,97,16,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.237","Milk, cultured, semi-skimmed, 0,1 % fat, blueberry and raspberry, BioQ","Milk and milk products",1,85,239,56,0.1,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,"0","0",0,10.3,0,"10.3",5,1,2.9,"0.2",0,3,2,17,0,0,0.06,0.13,0.1,0.04,7,0.2,1,96,0,90,154,11,0.3,1,0,80,13,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.171","Milk, cultured, skimmed, blueberry, Biola","Milk and milk products",1,88,209,49,0.1,0,0,0.01,0.03,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,"0","0",0,9.1,0,"9.1",5.3,0,3,"0.1",0,1,1,1,0.8,0,0.04,0.1,0.1,0.03,4,0.4,1,116,0.1,40,155,11,0.4,2,0.01,78,16,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
