"fdc_id","food_desc","food_group","source_fct","nutrient_data_source","ALCg","CARTAmcg","TOCPHAmg","ASHg","CHOAVLDFg","Available carbohydrate, FSANZ (g/100g)","CHOAVLg","CHOAVLMg","CARTBmcg","CARTBEQmcg","TOCPHBmg","Caffeine (mg/100g)","CAmg","Carbohydrate by difference, FSANZ (g/100g)","CHOLEmg","CUmg","TOCPHDmg","FOLDFEmcg","Dry matter (g/100g)","Edible_factor_in_FCT","Energy, total metabolisable (kcal) (kcal/100g)","ENERCkcal","Energy, total metabolisable (kJ) (kJ/100g)","ENERCkJ","Energy, total metabolisable, available carbohydrate, FSANZ (kcal) (kcal/100g)","Energy, total metabolisable, available carbohydrate, FSANZ (kJ) (kJ/100g)","Energy, total metabolisable, carbohydrate by difference, FSANZ (kcal) (kcal/100g)","Energy, total metabolisable, carbohydrate by difference, FSANZ (kJ) (kJ/100g)","FATg","Fatty acid 18:3 omega-3 (g/100g)","F20D5N3g","Fatty acid 22:5 omega-3 (g/100g)","F22D6N3g","Fatty acid cis, trans 18:2 omega-9, 11 (g/100g)","Fatty acid cis,cis 18:2 omega-6 (g/100g)","Fatty acids, total long chain polyunsaturated omega-3 (g/100g)","FAMSg","FAPUg","Fatty acids, total polyunsaturated omega-3 (g/100g)","Fatty acids, total polyunsaturated omega-6 (g/100g)","FASATg","FATRNg","FIBTGg","FIBINSg","FIBSOLg","FOLFDmg","FOLmg","FOLACmg","Fructose (g/100g)","TOCPHGmg","Glucose (g/100g)","IDmcg","FEmg","Lactose (g/100g)","MGmg","Maltose (g/100g)","MNmcg","NIATRPmg","NIAEQmg","NIAmg","NTg","Pmg","Kmg","PROCNTg","RETOLmcg","RIBFmg","SEmcg","NAmg","STARCHg","SUCSg","SUGADg","Sugar, free (g/100g)","SUGARg","THIAmg","CHOCDFg","CHOCSMg","TRPmg","VITA_RAEmcg","VITAmcg","VITB12mcg","VITB6Amg","VITCmcg","VITDmcg","VITEmg","WATERg","ZNmg"
"A1007","Bread, white wheat, sliced, prepacked, composite","Bakery products","NZ18","pzarcd","0","0","0.3","1.7","45.18","43.1","43.1","47.17","0","0",NA,"0","85","45.18","0","0.15","0","27.8","62",1,"230.48","237.68","976.54","1005.34","240.51","1005.34","248.97","1040.7","2.4","9.2999999999999999E-2",NA,NA,NA,NA,"0.55600000000000005",NA,"0.57099999999999995","0.65400000000000003","9.2999999999999999E-2","0.56100000000000005","0.312",NA,"3.6",NA,NA,"27.8","27.8","0","0.25","0.5","0.25","0.5","0.96","0.25","28","3.5","800","1.52","2.39","0.87","1.6","88","130","9.1199999999999992","0","0.04","9","460","38.799999999999997","0.05","0","0","4.3","0.23","48.78","46.7",NA,"0","0","0","7.0000000000000007E-2","0","0.27","0.35","38","0.73"
"A1008","Bread, wheatmeal, sliced, prepacked, composite","Bakery products","NZ18","pzcdar","0","0","0.8","1.9","38.31","36.6","36.6","40.049999999999997","0","0",NA,"0","86","38.31","0","0.22","0","40.6","60.1",1,"214.48","227.48","907.9","959.9","229.64","959.9","236.58","988.9","2.9","0.125",NA,NA,NA,NA,"0.72899999999999998",NA,"0.752","0.86199999999999999","0.125","0.73699999999999999","0.38800000000000001",NA,"6.5",NA,NA,"40.6","40.6","0","0.25","0.2","0.25","0.5","1.7","0.25","60","3","1900","1.75","3.98","2.23","1.8","160","210","10.49","0","0.08","9.1","430","32.799999999999997","0.05","0","0","3.8","0.34","44.81","43.1",NA,"0","0","0","0.15","0","0.27","0.82","39.9","1.4"
"A1009","Bread, mixed grain, light, sliced, prepacked, composite","Bakery products","NZ18","pzcdar","0","0","0.5","1.9","41.99","40.700000000000003","40.700000000000003","44.54","0","0",NA,"0","90","41.99","0","0.17","0","33.6","61.7",1,"227.64","237.84","963.99","1004.79","240.38","1004.79","245.62","1026.7","2.8","0.156",NA,NA,NA,NA,"0.77800000000000002",NA,"0.85899999999999999","0.94099999999999995","0.156","0.78500000000000003","0.41599999999999998",NA,"5.0999999999999996",NA,NA,"33.6","33.6","0","0.25","0.3","0.25","0.5","1.4","0.25","42","3.1","1300","1.65","2.42","0.77","1.7","130","180","9.91","0","0.1","8.6999999999999993","450","36.6","0.25","0","0","4.0999999999999996","0.24","47.09","45.8",NA,"0","0","0","0.18","0","0.46","0.53","38.299999999999997","1.1000000000000001"
"A101","Croissant, plain, composite","Bakery products","NZ18","pdzcabrug","0","0",NA,"1.3","41.04","38.630000000000003","38.630000000000003","42","0","0",NA,"0","53.5","41.04","52","0.09",NA,"28","78.099999999999994",1,"398.37","404.17","1664.96","1688.16","403.87","1688.16","413.66","1729.1","22.48","0.157",NA,NA,NA,NA,"0.128",NA,"4.43","1.135","0.157","0.97799999999999998","11.589","0.85","2.9",NA,NA,"28","28","0","2.2799999999999998",NA,"1.1000000000000001","0.5","0.92","1.03","23.7","2","585","1.8","2.68","0.88","1.79","113","167","10.38","157.25","0.12","0","380","32.22","0","3.38","3.38","6.41","0.2","43.94","41.53",NA,"157.25","157.25","0.24","0.11","1.53","0.09","1.03","21.9","0.94"
"A1010","Bread, mixed grain, heavy, sliced, prepacked, composite","Bakery products","NZ18","pzgcdlar","0","0","0.5","1.6","35.92","42.6","42.6","46.63","0","0",NA,"0","42","35.92","0","0.14000000000000001","0","19.399999999999999","54.45",1,"228.41","239.01","967.88","1010.28","241.69","1010.28","214.53","896.75","2.2999999999999998","0.121",NA,NA,NA,NA,"0.55000000000000004",NA,"0.69099999999999995","0.67700000000000005","0.121","0.55600000000000005","0.219",NA,"5.3",NA,NA,"19.399999999999999","19.399999999999999","0","0","0.3","0","2.5","1.1000000000000001","1.2","40","1.4","1200","1.63","2.25","0.62","1.6","140","200","9.33","0","0.15","5.7","370","38","2","0","0","4.5999999999999996","0.16","41.22","47.9",NA,"0","0","0","0.12","0","0.46","0.53","45.55","1.1000000000000001"
"A1011","Stuffing, from chicken, deli cooked","Bakery products","NZ18","pzarcdl","0","0","0.28999999999999998","1.8","21.54","25.78","25.78","28.25","25","25",NA,"0","26","21.54","3","7.0000000000000007E-2","0","20","31.9",1,"139.36000000000001","143.36000000000001","589.78","605.78","144.91999999999999","605.78","127.68","533.70000000000005","2","7.5999999999999998E-2","2E-3",NA,NA,NA,"0.36699999999999999","2E-3","0.98299999999999998","0.45300000000000001","7.8E-2","0.375","0.42099999999999999","0.01","2","1.6","0.4","20","20","0","0","0.04","0","3.8","0.92","0","15","1.1000000000000001","280","0.76","2.4","1.64","0.8","120","210","4.5599999999999996","70","0.1","2.7","470","23.58","1.1000000000000001","0","0","2.2000000000000002","0.12","23.54","27.78",NA,"72.08","74.180000000000007","0.43","0.06","0","0.27","0.3","68.099999999999994","0.39"
"A1014","Bread, gluten free, white, sliced & unsliced, prepacked, composite","Bakery products","NZ18","pzgcdlr","0","0","0.73","1.4","48.23","43.5","43.5","47.61","0","0",NA,"0","10","48.23","0","0.09","0","12.8","57.2",1,"215.28","217.28","911.19","919.19","219.9","919.19","239.14","999.6","3","0.11700000000000001",NA,NA,NA,NA,"0.69499999999999995",NA,"0.71399999999999997","0.81799999999999995","0.11700000000000001","0.70099999999999996","0.39",NA,"1",NA,NA,"12.8","12.8","0","0.25","0.01","0.25","1.8","0.28000000000000003","0.25","14","0.15","330","0.6","0.88","0.28000000000000003","0.6","63","140","3.57","0","7.0000000000000007E-2","1","370","39.200000000000003","3.4","0","0","4.3","0.04","49.23","44.5",NA,"0","0","0","7.0000000000000007E-2","0","0.27","0.74","42.8","0.59"
"A1015","Bread, gluten free, mixed grain, sliced, prepacked, composite","Bakery products","NZ18","pzgcdlrm","0","0","0.81","1.5","42.04","39.1","39.1","42.87","0","0",NA,"0","23","42.04","0","0.18","0.01","21.4","56.5",1,"217.74","224.74","919.52","947.52","226.68","947.52","238.64","997.5","4.7","0.29199999999999998",NA,NA,NA,NA,"1.3260000000000001",NA,"1.6659999999999999","1.6180000000000001","0.29199999999999998","1.3260000000000001","0.52700000000000002",NA,"3.5",NA,NA,"21.4","21.4","0","0.25","0.02","0.25","2.1","1.3","0.25","50","1.4","660","0.79","1.51","0.72","0.8","120","170","4.76","0","0.05","2.9","370","36.700000000000003","0.25","0","0","2.4","0.12","45.54","42.6",NA,"0","0","0","0.16","0","0.46","0.81","43.5","0.94"
"A1016","Bread mix, gluten free, Simple Baking Mix, Healtheries, fortified","Bakery products","NZ18","pzgcdlmruf","0","0","0.73","2","80.84","77.599999999999994","77.599999999999994","85.12","0","0",NA,"0","8.5","80.84","0","0.16","0","582.79999999999995","89.4",1,"331.56","335.36","1408.51","1423.71","340.6","1423.71","353.76","1478.7","0.5",NA,NA,NA,NA,NA,NA,NA,"0.14699999999999999","0.129",NA,NA,"0.128",NA,"1.9",NA,NA,"15","355","340","0.25","0","0.25","0.5","0.05","0.25","19","0.15","720","0.7","1.1200000000000001","0.42","0.7","70","78","4.17","0","0.06","4.2","650","73.3","3.4","0","0","4.3","2.12","82.74","79.5",NA,"0","0","0","0.06","0","0.27","0.73","10.6","0.72"
"A1017","Bread, garlic, made with butter, Garlic Bread Traditional Style, La Famiglia & Garlic Bread Italian Style, Signature Range","Bakery products","NZ18","pzbrcdlagw","0","0","0.44","2","39.119999999999997","41.47","41.47","45.45","0.54","0.54",NA,"0","83.2","39.119999999999997","10.11","0.12","0","21.8","71.900000000000006",1,"372.76","379.96","1559.68","1588.48","380.02","1588.48","370.46","1548.52","19.63",NA,NA,NA,NA,NA,NA,NA,"5.14","2.4",NA,NA,"10.56",NA,"3.6",NA,NA,"21.8","21.8","0","0.5",NA,"0","2","0.64","0","21.8","2.2999999999999998","912","1.38","2.58","1.2","1.33","78.5","96.8","7.55","52.2","7.0000000000000007E-2","6.97","460","38.67","0","0","0","2.8","7.0000000000000007E-2","42.72","45.07",NA,"52.25","52.29","0","0.04","2.4","0.18","0.44","28.1","1.01"
