"ICS.FAOSTAT.SUA.Current.Code","ics_faostat_sua_english_description","quality_rating_for_food_match","source_fct","NDB_number","fdc_id","food_desc","scientific_name","ISSCAAP.Group","X3.alpha.code","Edible_factor_in_FCT","V105","SOPg","ENERCkcal","ENERCkJ","V106","V107","WATERg","PROCNTg","XN","FAT_g_standardised","FATg","FATCEg","FAT_g","V108","CHOCDFg","CHOAVLMg","CHOAVLg","CHOAVLDFg","V109","FIBTGg","NSPg","FIBCg","ALCg","ASHg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","CUmg","MNmg","SEmcg","V110","V111","VITA_RAEmcg","VITAmcg","RETOLmcg","V112","CARTBEQmcg","CARTAmcg","CARTBmcg","CRYPXBmcg","V113","VITEmg","TOCPHAmg","TOCPHBmg","TOCPHGmg","TOCPHDmg","TOCTRAmg","TOCTRBmg","TOCTRGmg","V114","THIAmg","THIAHCLmg","RIBFmg","VITB6_mg_standardised","VITB6Cmg","VITB6Amg","VITB6_mg","V115","FOLDFEmcg","FOLmcg","FOLACmcg","FOLFDmcg","FOLSUMmcg","FOL_mcg","V116","NIAEQmg","NIAmg","V117","NIATRPmg","TRPmg","VITB12mcg","VITCmg","ASCLmg","FASATg","FAMSg","FAPUg","FATRNg","CHOLEmg","CHOL_mg","SUGARg","F22D6N3g","F20D5N3g","NIAmg_std","IDmcg","comment","fish_type","fish_prep","food_group","nutrient_data_source","specific_gravity","NTg","ALCg_100mL","VITDEQmcg","VITDmcg","CHOCALmcg","ERGCALmcg","CHOCALOHmcg","ERGCALOHmcg"
"1501","Freshwater & diadromous fish, fresh",NA,"DK19",NA,"30","Salmon, Atlantic, wild, raw",NA,"23","",0.65,NA,NA,159,666,NA,NA,68,18.4,6.25,"7.5",NA,NA,7.5,NA,4.5,NA,NA,4.5,NA,0,NA,NA,NA,1.6,20,0.8,24,200,330,57,1.04,0.17,0.04,32.2,NA,NA,15,NA,15,NA,NA,NA,0,NA,NA,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.1,0.98,0.98,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,9.24,6,NA,NA,194,6.2,1,1,NA,2.09,1.91,NA,70,NA,NA,0.93,0.36,6,30,NA,"Freshwater & diadromous fish","fresh","Marine fish","None listed",NA,2.94,NA,30,NA,30,NA,NA,NA
"1501","Freshwater & diadromous fish, fresh",NA,"DK19",NA,"1248","Eel, raw",NA,"22","",NA,NA,NA,310,1281,NA,NA,56.2,15.1,NA,"27.7",NA,NA,27.7,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,35,0.35,15,200,256,46,2,0.03,0.03,26.3,NA,NA,1800,NA,1800,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.31,0.24,0.24,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,6.63,3.8,NA,NA,170,4.4,1.28,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,13.4,NA,"Freshwater & diadromous fish","fresh","Marine fish","None listed",NA,3.06,NA,30,NA,30,NA,NA,NA
"1501","Freshwater & diadromous fish, fresh",NA,"DK19",NA,"1658","Salmon, atlantic, aquaculture, raw",NA,"23","",0.92,NA,NA,228,947,NA,NA,64.7,15.8,6.25,"18.3",NA,NA,18.3,NA,0,NA,NA,0,NA,0,NA,NA,NA,1.1,8.68,0.22,25.6,219,362,46.8,0.32,0.04,0,16.6,NA,NA,7.05,NA,7.05,NA,NA,NA,NA,NA,NA,3.3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.07,0.64,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,7.65,NA,NA,206,4.1,2.05,2.05,NA,8.05,4.5,0,52,NA,NA,0.66,0.41,7.65,2.74,NA,"Freshwater & diadromous fish","fresh","Marine fish","None listed",NA,3.12,NA,9.66,NA,6.07,0,0.72,0
"1501","Freshwater & diadromous fish, fresh",NA,"DK19",NA,"1659","Salmon (slå op i fishbase)",NA,"23","",NA,NA,NA,105,444,NA,NA,75.4,21.2,6.25,"2.2999999999999998",NA,NA,2.3,NA,0,NA,NA,0,NA,0,NA,NA,NA,1.2,8.7,0.38,26.5,221,352,67,0.36,0.07,0.01,31.5,NA,NA,6.9,NA,6.9,NA,NA,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.12,0.54,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45,6.45,NA,NA,NA,5.35,0.53,0.53,NA,0.65,0.8,NA,54,NA,NA,0.44,0.18,6.45,12.6,NA,"Freshwater & diadromous fish","fresh","Marine fish","None listed",NA,3.49,NA,14.4,NA,14.2,NA,0.05,NA
"1501","Freshwater & diadromous fish, fresh",NA,"JA15",NA,"10021","Fish, Ayu, wild, raw",NA,"23","",0.55,NA,NA,100,418,NA,NA,77.7,18.3,NA,"2.4",2.4,NA,NA,NA,NA,NA,NA,0.1,NA,0,NA,NA,NA,1.5,270,0.9,24,310,370,70,0.8,0.06,0.16,14,NA,NA,35,NA,35,NA,0,0,0,0,NA,NA,1.2,0,0,0,NA,NA,NA,NA,NA,0.13,0.15,0.17,NA,0.17,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,3.1,NA,NA,200,10.3,2,NA,0.65,0.61,0.54,NA,83,NA,NA,0.06,0.09,3.1,13,NA,"Freshwater & diadromous fish","fresh","Fish, mollusks and crustaceans","None listed",NA,NA,NA,NA,1,NA,NA,NA,NA
"1501","Freshwater & diadromous fish, fresh",NA,"JA15",NA,"10025","Fish, Ayu, cultured, raw",NA,"23","",0.5,NA,NA,152,636,NA,NA,72,17.8,NA,"7.9",7.9,NA,NA,NA,NA,NA,NA,0.6,NA,0,NA,NA,NA,1.7,250,0.8,24,320,360,55,0.9,0.05,0,NA,NA,NA,55,NA,55,NA,0,0,0,0,NA,NA,5,0.1,0.1,0,NA,NA,NA,NA,NA,0.15,0.14,0.28,NA,0.28,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,3.5,NA,NA,200,2.6,2,NA,2.44,2.48,1.4,NA,110,NA,NA,0.44,0.18,3.5,NA,NA,"Freshwater & diadromous fish","fresh","Fish, mollusks and crustaceans","None listed",NA,NA,NA,NA,8,NA,NA,NA,NA
"1501","Freshwater & diadromous fish, fresh",NA,"JA15",NA,"10149","Fish, salmon and trout, sockeye salmon, raw",NA,"23","",1,NA,NA,138,577,NA,NA,71.4,22.5,NA,"4.5",4.5,NA,NA,NA,NA,NA,NA,0.1,NA,0,NA,NA,NA,1.5,10,0.4,31,260,380,57,0.5,0.07,0.01,NA,NA,NA,27,NA,27,NA,0,0,0,0,NA,NA,1.3,0,0,0,NA,NA,NA,NA,NA,0.26,0.15,0.41,NA,0.41,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,6,NA,NA,250,9.4,0,NA,0.81,1.75,1.03,NA,51,NA,NA,0.48,0.27,6,NA,NA,"Freshwater & diadromous fish","fresh","Fish, mollusks and crustaceans","None listed",NA,NA,NA,NA,33,NA,NA,NA,NA
"1501","Freshwater & diadromous fish, fresh",NA,"UF16",NA,"091006","Nile tilapia, wild, dorsal muscle w/o skin, raw",NA,"12","TLN",0.15,NA,NA,90.19,381.85,NA,NA,80.76,19.91,NA,"1.1724999999999999",1.17,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0.97,14.57,0.13,28.43,138.74,343.75,36.92,0.47,0.06,NA,24,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,0.04,NA,0.06,0.2,0.2,NA,NA,NA,NA,13.2,NA,NA,NA,NA,NA,6.98,3.51,NA,NA,208,1.3,0,NA,0.35,0.28,0.31,NA,41.7,NA,NA,0.08,0.02,3.51,4.79,NA,"Freshwater & diadromous fish","fresh",NA,"fi100, fi333, 091001, SR27-15261",NA,3.19,NA,NA,NA,19.95,NA,NA,NA
"1501","Freshwater & diadromous fish, fresh",NA,"US19","15261","15261","Fish, tilapia, raw",NA,"12","",1,NA,NA,96,400,NA,NA,78.08,20.08,NA,"1.7",1.7,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0.93,10,0.56,27,170,302,52,0.33,0.07,0.04,41.8,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0.4,NA,0,0.1,0,NA,0,0,NA,0.04,NA,0.06,0.16,NA,0.16,NA,NA,24,24,0,24,NA,NA,NA,NA,3.9,NA,NA,0.21,1.58,0,NA,0.58,0.5,0.36,NA,50,NA,0,0.09,0,3.9,NA,NA,"Freshwater & diadromous fish","fresh","Finfish and Shellfish Products","S1163",NA,NA,NA,NA,3.1,3.1,NA,NA,NA
"1501","Freshwater & diadromous fish, fresh",NA,"US19","35150","35150","Fish, salmon, coho (silver), raw (Alaska Native)",NA,"23","",1,NA,NA,140,587,NA,NA,69.38,22.56,NA,"5.57",5.57,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,1.24,5,0.55,28,240,380,58,0.41,0.05,NA,27.6,NA,NA,NA,NA,30,NA,NA,0,0,0,NA,0.81,NA,0.01,0.01,0,0,0,0,NA,0.15,NA,0.19,0.22,NA,0.22,NA,NA,13,13,0,13,NA,NA,NA,NA,7.93,NA,NA,0.33,8.52,0,NA,0.9,1.79,2.41,NA,58,NA,0,1.39,0.49,7.93,NA,NA,"Freshwater & diadromous fish","fresh","American Indian/Alaska Native Foods","S3481",NA,NA,NA,NA,NA,NA,NA,NA,NA
