"fdc_id","ISSCAAP","3_alpha_code","food_desc","Habitat","cook_state","nutrient_data_source","source_fct","Edible_factor_in_FCT","EDIBLE2","ENERCkJ","ENERCkcal","WATERg","NTg","PROCNTg","FATg","CHOAVLDFg","FIBTGg","CHOLEmg","ASHg","CAmg","CUmg","FEmg","Kmg","MGmg","NAmg","Pmg","ZNmg","IDmcg","SEmcg","RETOLmcg","CARTBmcg","CHOCALmcg","TOCPHAmg","THIAmg","RIBFmg","NIAEQmg","NIAmg","PANTACmg","VITB6Cmg","FOLmcg","VITB12mcg","VITCmg","ALAmg","ARGmg","ASPmg","CYSmg","GLUmg","GLYmg","HISmg","ILEmg","LEUmg","LYSmg","METmg","PHEmg","PROmg","SERmg","THRmg","TRPmg","TYRmg","VALmg","XFA","FACIDg","FASATg","FAMSg","FAPUg","FAUNg","FATRNg","FAPUN3g","FAPUN6g","F4D0g","F6D0g","F8D0g","F10D0g","F12D0g","F13D0g","F14D0g","F15D0g","F16D0g","F17D0g","F18D0g","F19D0g","F20D0g","F21D0g","F22D0g","F23D0g","F24D0g","F26D0g","F30D0g","F10D1g","F14D1N7g","F14D1g","F15D1g","F16D1N9g","F16D1N7g","F16D1N5g","F16D1Cg","F16D1Tg","F16D1g","F17D1N9g","F17D1N7g","F17D1Cg","F17D1g","F18D1N11g","F18D1CN9g","F18D1TN9g","F18D1N9g","F18D1CN7g","F18D1N7g","F18D1N5g","F18D1Cg","F18D1Tg","F18D1g","F19D1g","F20D1CN11g","F20D1N11g","F20D1CN9g","F20D1N9g","F20D1N7g","F20D1Cg","F20D1g","F22D1N11g","F22D1N9g","F22D1Cg","F22D1Tg","F22D1g","F24D1N9g","F24D1Cg","F24D1g","F16D2N6g","F16D2N4g","F16D2g","F17D2g","F18D2CN6g","F18D2N6g","F18D2CLAg","F18D2Cg","F18D2Tg","F18D2g","F20D2N9g","F20D2CN6g","F20D2N6g","F20D2Cg","F20D2g","F22D2N6g","F22D2g","F16D3N3g","F16D3g","F18D3CN6g","F18D3N6g","F18D3N4g","F18D3CN3g","F18D3N3g","F18D3g","F20D3N9g","F20D3CN6g","F20D3N6g","F20D3N3g","F20D3g","F22D3N6g","F22D3g","F16D4N3g","F16D4Cg","F16D4g","F18D4CN3g","F18D4N3g","F18D4g","F20D4CN6g","F20D4N6g","F20D4N3g","F20D4g","F22D4CN6g","F22D4N6g","F22D4N3g","F22D4g","F20D5CN3g","F20D5N3g","F20D5g","F21D5N3","F21D5g","F22D5N6g","F22D5CN3g","F22D5N3g","F22D5g","F22D6CN3g","F22D6N3g","F22D6g","F24D6N3g","F24D6g"
"091001",12,"TLN","Nile tilapia, fillet, raw (n.s.)",NA,"r","fi002, fi015, fi017, fi023, fi028, fi074, fi100, fi118, fi157, fi277, fi435, fi244, fi266, fi333, fi435, fi465, fi445, UK7-16-154, CIQ12-Nile tilapia, CRY-Tilapia, SR27-15261, WF","UF16","0.29699999999999999","1","390.83889423076926","92.593894230769223","79.511818181818185","2.9304307692307692","18.315192307692307","2.1481250000000003","0","0","41.7","0.97428571428571431","14.566666666666668","5.5E-2","0.78714285714285714","343.75","26.064","36.92","179.82714285714286","0.44399999999999995","4.7866666666666662","24","1","0","19.954999999999998","0.80500000000000005","0.04","6.3333333333333339E-2","6.699889097456329","3.5074999999999998","0.68","0.20500000000000002","13.200000000000001","1.3049999999999999","0","1110","1160","2100","201","2930","951","429","848","1460","1650","541","739","690","742","867","192","620","885","0.87","1.86","0.69","0.56","0.62","0",NA,"0.19",NA,NA,NA,NA,NA,"0.01","0","0.06","0.02","0.41","0.02","0.14",NA,"0.01","0.01","0.01","0","0.01",NA,NA,NA,NA,"0.01","0.01",NA,NA,NA,NA,NA,"0.10",NA,NA,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,"0",NA,NA,"0.01",NA,NA,"0","0",NA,NA,NA,NA,NA,"0.14",NA,NA,NA,NA,"0.02",NA,"0.01",NA,NA,NA,NA,NA,NA,NA,"0.04",NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,"0.01",NA,NA,NA,"0.08",NA,NA,NA,"0.04",NA,"0.04","0.04",NA,"0",NA,NA,NA,"0.07",NA,"0.15","0.15",NA,NA
"091067",12,"TLN","Nile tilapia, fillet, steamed (n.s.)",NA,"c","calc. from 091001","UF16","0.29699999999999999","1","449.24010831122899","106.4297634836428","76.450365726227801","3.3683112290008843","21.051945181255526","2.4691091954022992","0","0","47.931034482758626","1.1198686371100164","16.743295019157092","5.6896551724137934E-2","0.7238095238095239","296.33620689655174","25.464827586206894","36.071264367816092","175.69318555008212","0.51034482758620681","4.9517241379310342","24.827586206896555","1.0344827586206897","0","20.643103448275859","0.92528735632183912","3.4482758620689655E-2","5.0957854406130272E-2","6.4915391924785393","2.822126436781609","0.54712643678160922","0.16494252873563217","10.620689655172415","1.2","0","1280","1340","2410","230.64880178666417","3370","1090","492.74971290787346","975.01538937089845","1680","1900","621.70336117950831","849.20695203271794","793.6415588750217","852.3521629661725","995.98346226059516","220.16476534181581","712.91447824968918","1020","0.88","2.16","0.80","0.65","0.71","0",NA,"0.22",NA,NA,NA,NA,NA,"0.01","0","0.07","0.02","0.47","0.03","0.16",NA,"0.01","0.01","0.01","0","0.01",NA,NA,NA,NA,"0.01","0.01",NA,NA,NA,NA,NA,"0.12",NA,NA,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.46",NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,"0",NA,NA,"0.01",NA,NA,"0","0",NA,NA,NA,NA,NA,"0.16",NA,NA,NA,NA,"0.02",NA,"0.01",NA,NA,NA,NA,NA,NA,NA,"0.05",NA,NA,NA,NA,"0.03",NA,NA,NA,NA,NA,NA,NA,"0.01",NA,NA,NA,"0.10",NA,NA,NA,"0.04",NA,"0.04","0.04",NA,"0",NA,NA,NA,"0.08",NA,"0.17","0.17",NA,NA
"091128",12,"TLN","Nile tilapia, fillet, boiled in recipe (n.s.)",NA,"c","calc. from 091001","UF16","0.29699999999999999","1","449.24010831122899","106.4297634836428","76.450365726227801","3.3683112290008843","21.051945181255526","2.4691091954022992","0","0","47.931034482758626","1.1198686371100164","16.743295019157092","6.3218390804597707E-2","0.90476190476190477","395.11494252873564","29.958620689655174","42.436781609195407","206.69786535303777","0.51034482758620681","5.5019157088122599","27.586206896551726","1.0344827586206897","0","20.643103448275859","0.92528735632183912","3.9080459770114949E-2","7.2796934865900387E-2","7.4994414913291134","3.8300287356321836","0.66436781609195406","0.20028735632183911","12.896551724137932","1.3499999999999999","0","1280","1340","2410","230.64880178666417","3370","1090","492.74971290787346","975.01538937089845","1680","1900","621.70336117950831","849.20695203271794","793.6415588750217","852.3521629661725","995.98346226059516","220.16476534181581","712.91447824968918","1020","0.88","2.16","0.80","0.65","0.71","0",NA,"0.22",NA,NA,NA,NA,NA,"0.01","0","0.07","0.02","0.47","0.03","0.16",NA,"0.01","0.01","0.01","0","0.01",NA,NA,NA,NA,"0.01","0.01",NA,NA,NA,NA,NA,"0.12",NA,NA,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.46",NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,"0",NA,NA,"0.01",NA,NA,"0","0",NA,NA,NA,NA,NA,"0.16",NA,NA,NA,NA,"0.02",NA,"0.01",NA,NA,NA,NA,NA,NA,NA,"0.05",NA,NA,NA,NA,"0.03",NA,NA,NA,NA,NA,NA,NA,"0.01",NA,NA,NA,"0.10",NA,NA,NA,"0.04",NA,"0.04","0.04",NA,"0",NA,NA,NA,"0.08",NA,"0.17","0.17",NA,NA
"091189",12,"TLN","Nile tilapia, fillet, grilled (n.s.)",NA,"c","calc. from 091001","UF16","0.29699999999999999","1","494.73277750730279","117.2074610516066","74.065592635212894","3.7094060370009729","23.183787731256082","2.7191455696202533","0","0","52.784810126582279","1.2332730560578662","18.438818565400844","6.6139240506329106E-2","0.84692585895117534","369.85759493670884","29.693164556962024","39.724050632911393","204.86636528028933","0.56202531645569609","6.0590717299578047","30.379746835443036","1.139240506329114","0","22.733544303797466","1.018987341772152","4.0506329113924051E-2","6.8143459915611812E-2","7.8148912626029485","3.7738924050632909","0.75746835443037974","0.23354430379746838","13.367088607594939","1.4867088607594934","0","1410","1470","2650","254.00564247392128","3710","1200","542.64841801246814","1070","1850","2090","684.66066357743318","935.20259274489183","874.01032433071998","938.66630605135447","1100","242.45993145237944","785.10834946484761","1120","0.88","2.39","0.89","0.72","0.79","0",NA,"0.24",NA,NA,NA,NA,NA,"0.01","0","0.07","0.02","0.52","0.03","0.18",NA,"0.01","0.01","0.01","0","0.01",NA,NA,NA,NA,"0.01","0.02",NA,NA,NA,NA,NA,"0.13",NA,NA,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.50",NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,"0",NA,NA,"0.01",NA,NA,"0","0",NA,NA,NA,NA,NA,"0.18",NA,NA,NA,NA,"0.02",NA,"0.01",NA,NA,NA,NA,NA,NA,NA,"0.05",NA,NA,NA,NA,"0.03",NA,NA,NA,NA,NA,NA,NA,"0.01",NA,NA,NA,"0.11",NA,NA,NA,"0.05",NA,"0.05","0.05",NA,"0",NA,NA,NA,"0.09",NA,"0.19","0.19",NA,NA
"091002",12,"TLN","Nile tilapia, farmed, fillet, raw (n.s.)","F","r","fi015, fi074, fi277, fi244, fi266, fi465, CIQ12-Nile tilapia, 091001, SR27-15261","UF16","0.29699999999999999","1","407.83523809523814","96.751428571428576","78.065714285714293","2.902857142857143","18.142857142857142","2.686666666666667","0","0","43.25","1.01","14.566666666666668","5.3333333333333337E-2","0.82250000000000001","308.33333333333331","26.553333333333331","33.15","160","0.45333333333333331","5","24","1","0","19.954999999999998","0.80500000000000005","3.5000000000000003E-2","0.05","6.8056839309428954","3.6433333333333331","0.68","0.20500000000000002","13.200000000000001","1.0733333333333333","0","1100","1150","2080","199","2900","942","425","840","1450","1640","536","732","684","735","858","190","614","876","0.88","2.36","0.87","0.80","0.69","0",NA,"0.10","0.35",NA,NA,NA,NA,"0",NA,"0.12","0","0.57","0.01","0.14",NA,"0.01","0","0","0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0.10",NA,NA,NA,NA,NA,NA,NA,"0.66",NA,NA,NA,NA,NA,"0.66",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,NA,NA,NA,"0.01",NA,NA,"0.01",NA,NA,NA,NA,NA,"0.35",NA,NA,NA,"0.35",NA,NA,NA,NA,"0.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.07",NA,NA,NA,NA,"0.03",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0.03",NA,NA,NA,NA,NA,"0.02","0.02",NA,NA,NA,NA,NA,"0.04",NA,"0.07","0.07",NA,NA
"091068",12,"TLN","Nile tilapia, farmed, fillet, steamed (n.s.)","F","c","calc. from 091002","UF16","0.29699999999999999","1","468.77613574165298","111.20853858784892","74.78817733990148","3.3366174055829223","20.853858784893266","3.088122605363985","0","0","49.712643678160923","1.1609195402298851","16.743295019157092","5.5172413793103448E-2","0.7563218390804598","265.80459770114942","25.942911877394632","32.387931034482754","156.32183908045977","0.52107279693486586","5.1724137931034484","24.827586206896555","1.0344827586206897","0","20.643103448275859","0.92528735632183912","3.017241379310345E-2","4.0229885057471264E-2","6.5663033688998791","2.9314176245210724","0.54712643678160922","0.16494252873563217","10.620689655172415","0.98697318007662838","0","1270","1330","2390","228.47853250381075","3340","1080","488.11322853086847","965.8410692206545","1670","1880","615.85349897618084","841.21641512766678","786.17385956993064","844.33203147999154","986.61184490281903","218.09314466272843","706.20637319359673","1010","0.89","2.74","1.01","0.93","0.80","0",NA,"0.11","0.40",NA,NA,NA,NA,"0",NA,"0.14","0","0.66","0.01","0.17",NA,"0.01","0","0","0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0.12",NA,NA,NA,NA,NA,NA,NA,"0.76",NA,NA,NA,NA,NA,"0.76",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,NA,NA,NA,"0.01",NA,NA,"0.01",NA,NA,NA,NA,NA,"0.40",NA,NA,NA,"0.40",NA,NA,NA,NA,"0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.08",NA,NA,NA,NA,"0.03",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0.04",NA,NA,NA,NA,NA,"0.03","0.03",NA,NA,NA,NA,NA,"0.05",NA,"0.09","0.09",NA,NA
"091129",12,"TLN","Nile tilapia, farmed, fillet, boiled in recipe (n.s.)","F","c","calc. from 091002","UF16","0.29699999999999999","1","468.77613574165298","111.20853858784892","74.78817733990148","3.3366174055829223","20.853858784893266","3.088122605363985","0","0","49.712643678160923","1.1609195402298851","16.743295019157092","6.1302681992337169E-2","0.9454022988505747","354.40613026819921","30.521072796934863","38.103448275862064","183.90804597701148","0.52107279693486586","5.7471264367816088","27.586206896551726","1.0344827586206897","0","20.643103448275859","0.92528735632183912","3.4195402298850576E-2","5.7471264367816098E-2","7.6132382348002627","3.9783524904214556","0.66436781609195406","0.20028735632183911","12.896551724137932","1.1103448275862069","0","1270","1330","2390","228.47853250381075","3340","1080","488.11322853086847","965.8410692206545","1670","1880","615.85349897618084","841.21641512766678","786.17385956993064","844.33203147999154","986.61184490281903","218.09314466272843","706.20637319359673","1010","0.89","2.74","1.01","0.93","0.80","0",NA,"0.11","0.40",NA,NA,NA,NA,"0",NA,"0.14","0","0.66","0.01","0.17",NA,"0.01","0","0","0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0.12",NA,NA,NA,NA,NA,NA,NA,"0.76",NA,NA,NA,NA,NA,"0.76",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,NA,NA,NA,"0.01",NA,NA,"0.01",NA,NA,NA,NA,NA,"0.40",NA,NA,NA,"0.40",NA,NA,NA,NA,"0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.08",NA,NA,NA,NA,"0.03",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0.04",NA,NA,NA,NA,NA,"0.03","0.03",NA,NA,NA,NA,NA,"0.05",NA,"0.09","0.09",NA,NA
"091190",12,"TLN","Nile tilapia, farmed, fillet, grilled (n.s.)","F","c","calc. from 091002","UF16","0.29699999999999999","1","516.24713682941524","122.47016274864376","72.235081374321894","3.6745027124773957","22.965641952983724","3.4008438818565403","0","0","54.746835443037973","1.2784810126582278","18.438818565400844","6.4135021097046413E-2","0.88496835443037969","331.75105485232064","30.250632911392405","35.667721518987335","182.27848101265823","0.57383966244725737","6.3291139240506329","30.379746835443036","1.139240506329114","0","22.733544303797466","1.018987341772152","3.5443037974683546E-2","5.3797468354430382E-2","7.923017634104931","3.9200421940928267","0.75746835443037974","0.23354430379746838","13.367088607594939","1.2227848101265821","0","1400","1460","2630","251.6155990864751","3680","1190","537.54241623019686","1060","1830","2070","678.2184102649079","926.40288754565825","865.78640231118936","929.83400935138297","1090","240.17852640072624","777.72094263092299","1110","0.89","3.03","1.11","1.03","0.89","0",NA,"0.12","0.44",NA,NA,NA,NA,"0",NA,"0.15","0","0.73","0.01","0.18",NA,"0.01","0","0","0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0.13",NA,NA,NA,NA,NA,NA,NA,"0.84",NA,NA,NA,NA,NA,"0.84",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,NA,NA,NA,"0.01",NA,NA,"0.02",NA,NA,NA,NA,NA,"0.44",NA,NA,NA,"0.44",NA,NA,NA,NA,"0.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.09",NA,NA,NA,NA,"0.04",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0.04",NA,NA,NA,NA,NA,"0.03","0.03",NA,NA,NA,NA,NA,"0.05",NA,"0.09","0.09",NA,NA
"091003",12,"TLN","Nile tilapia, farmed, fillet w/o skin, raw (China)","F","r","fi074, fi244, fi266, 091001, SR27-15261","UF16","0.29699999999999999","1","367.09166666666658","86.933333333333323","80","2.793333333333333","17.458333333333332","1.8999999999999997","0","0","43.25","1","13.1","3.5000000000000003E-2","0.21500000000000002","317.5","26.7","27.65","156","0.33","5","22.9","1","0","19.954999999999998","0.80500000000000005","3.5000000000000003E-2","0.05","6.6830361885790168","3.6399999999999997","0.68","0.20500000000000002","13.200000000000001","1.085","0","1060","1110","2000","191","2790","907","409","809","1390","1570","516","704","658","707","826","183","591","843","0.86","1.63","0.55","0.58","0.49","0.02",NA,"0.05","0.25",NA,NA,NA,NA,"0",NA,"0.05","0","0.38","0.01","0.09",NA,"0","0","0","0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0.07",NA,NA,NA,NA,NA,NA,NA,"0.47",NA,NA,NA,NA,NA,"0.47",NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,"0",NA,NA,"0.01",NA,NA,NA,NA,NA,"0.25",NA,NA,NA,"0.25",NA,NA,NA,NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.06",NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0.03",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0.03",NA,"0.04","0.04",NA,NA
"091069",12,"TLN","Nile tilapia, farmed, fillet w/o skin, steamed (China)","F","c","calc. from 091003","UF16","0.29699999999999999","1","421.94444444444446","99.923371647509583","77.011494252873561","3.210727969348659","20.067049808429118","2.1839080459770113","0","0","49.712643678160923","1.1494252873563218","15.057471264367816","3.6206896551724148E-2","0.19770114942528741","273.70689655172413","26.086206896551726","27.014367816091951","152.41379310344826","0.37931034482758624","5.1724137931034484","23.689655172413794","1.0344827586206897","0","20.643103448275859","0.92528735632183912","3.017241379310345E-2","4.0229885057471264E-2","6.4264783776770305","2.9287356321839075","0.54712643678160922","0.16494252873563217","10.620689655172415","0.99770114942528731","0","1220","1280","2300","219.85811543099635","3210","1040","469.69688296621945","929.40021523102985","1600","1810","592.61755659354912","809.47760681412285","756.51178809665555","812.47567202454547","949.38731663384783","209.86456472958741","679.56144769580681","969.37441803666559","0.87","1.89","0.63","0.67","0.57","0.02",NA,"0.05","0.29",NA,NA,NA,NA,"0",NA,"0.05","0","0.44","0.01","0.11",NA,"0","0","0","0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0.09",NA,NA,NA,NA,NA,NA,NA,"0.54",NA,NA,NA,NA,NA,"0.54",NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,NA,"0",NA,NA,"0.01",NA,NA,NA,NA,NA,"0.29",NA,NA,NA,"0.29",NA,NA,NA,NA,"0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.07",NA,NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,"0.04",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0.03",NA,"0.05","0.05",NA,NA
