"X0","X1","X2","V4"
"Food Code",NA,NA,"fdc_id"
"Food Name",NA,NA,"food_desc"
"Description",NA,NA,"comments"
"Group",NA,NA,"food_group"
"Previous",NA,NA,"previous_fcd_id"
"Main data references",NA,NA,"nutrient_data_source"
"Footnote",NA,NA,"footnote"
"Edible proportion",NA,NA,"Edible_factor_in_FCT"
"Specific gravity",NA,NA,"specific_gravity"
"Total solids",NA,NA,"total_solids"
"Nitrogen conversion factor",NA,NA,"XN"
"Glycerol conversion factor",NA,NA,"XFA"
"Water (g)","WATER","Water","WATERg"
"Total nitrogen (g)","TOTNIT","Total nitrogen","NTg"
"Protein (g)","PROT","Protein","PROCNTg"
"Fat (g)","FAT","Fat","FAT_g"
"Carbohydrate (g)","CHO","Carbohydrate","CHOAVLg"
"Energy (kcal) (kcal)","KCALS","kcal","ENERCkcal"
"Energy (kJ) (kJ)","KJ","kJ","ENERCkJ"
"Starch (g)","STAR","Starch","STARCHMg"
"Oligosaccharide (g)","OLIGO","Oligosaccharide","OLSACMg"
"Total sugars (g)","TOTSUG","Total sugars","SUGARMg"
"Glucose (g)","GLUC","Glucose","GLUSg"
"Galactose (g)","GALACT","Galactose","GALSg"
"Fructose (g)","FRUCT","Fructose","FRUSg"
"Sucrose (g)","SUCR","Sucrose","SUCSMg"
"Maltose (g)","MALT","Maltose","MALSMg"
"Lactose (g)","LACT","Lactose","LACSMg"
"Alcohol (g)","ALCO","Alcohol","ALCg_100mL"
"NSP (g)","ENGFIB","Non-starch polysaccharide","NSPg"
"AOAC fibre (g)","AOACFIB","AOAC fibre","FBTGg"
"Satd FA /100g FA (g)","SATFAC","Saturated fatty acids per 100g fatty acids","FASATg_100gFAT"
"Satd FA /100g fd (g)","SATFOD","Saturated fatty acids per 100g food","FASATg"
"n-6 poly /100g FA (g)","TOTn6PFAC","Total n-6 polyunsaturated fatty acids per 100g fatty acid","FAPUN6g_100gFAT"
"n-6 poly /100g food (g)","TOTn6PFOD","Total n-6 polyunsaturated fatty acids per 100g food","FAPUN6g"
"n-3 poly /100g FA (g)","TOTn3PFAC","Total n-3 polyunsaturated fatty acids per 100g fatty acid","FAPUN3g_100gFAT"
"n-3 poly /100g food (g)","TOTn3PFOD","Total n-3 polyunsaturated fatty acids per 100g food","FAPUN3g"
"cis-Mono FA /100g FA (g)","MONOFACc","cis-Monounsaturated fatty acids /100g FA","cisFAMSg_100gFAT"
"cis-Mono FA /100g Food (g)","MONOFODc","cis-Monounsaturated fatty acids /100g Food","cisFAMSg"
"Mono FA/ 100g FA (g)","MONOFAC","Monounsaturated fatty acids per 100g fatty acids","FAMSg_100gFAT"
"Mono FA /100g food (g)","MONOFOD","Monounsaturated fatty acids per 100g food","FAMSg"
"cis-Polyu FA /100g FA (g)","POLYFACc","cis-Polyunsaturated fatty acids /100g FA","cisFAPUg_100gFAT"
"cis-Poly FA /100g Food (g)","POLYFODc","cis-Polyunsaturated fatty acids /100g Food","cisFAPUg"
"Poly FA /100g FA (g)","POLYFAC","Polyunsaturated fatty acids per 100g fatty acids","FAPUg_100gFAT"
"Poly FA /100g food (g)","POLYFOD","Polyunsaturated fatty acids per 100g food","FAPUg"
"Sat FA excl Br /100g FA (g)","SATFACx6","Saturated fatty acids excluding branch per 100 g fatty acid","exFASATg_100gFAT"
"Sat FA excl Br /100g food (g)","SATFODx6","Saturated fatty acids excluding branch per 100 g food","exFASATg"
